Timestep: 199, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 200, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 201, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 202, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 203, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 204, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 205, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 206, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 207, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 208, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 209, Current State: 0, Next State: 1, Selected Action: 0
Timestep: 210, Current State: 1, Next State: 0, Selected Action: 0
Timestep: 211, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 212, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 213, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 214, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 215, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 216, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 217, Current State: 4, Next State: 5, Selected Action: 0
Timestep: 218, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 219, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 220, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 221, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 222, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 223, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 224, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 225, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 226, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 227, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 228, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 229, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 230, Current State: 5, Next State: 5, Selected Action: 0
Timestep: 231, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 232, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 233, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 234, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 235, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 236, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 237, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 238, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 239, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 240, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 241, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 242, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 243, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 244, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 245, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 246, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 247, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 248, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 249, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 250, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 251, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 252, Current State: 0, Next State: 5, Selected Action: 0
Timestep: 253, Current State: 5, Next State: 4, Selected Action: 0
Timestep: 254, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 255, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 256, Current State: 4, Next State: 5, Selected Action: 0
Timestep: 257, Current State: 5, Next State: 4, Selected Action: 0
Timestep: 258, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 259, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 260, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 261, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 262, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 263, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 264, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 265, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 266, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 267, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 268, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 269, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 270, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 271, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 272, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 273, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 274, Current State: 4, Next State: 2, Selected Action: 0
